GEOID,NAME,year,employment_over_16,employment_over_16_moe,unemployment_over_16,unemployment_over_16_moe,employment_20_to_64,employment_20_to_64_moe,unemployment_20_to_64,unemployment_20_to_64_moe,below_poverty,below_poverty_moe,earnings_16_older_total,earnings_16_older_total_moe,earnings_16_older_median,earnings_16_older_median_moe,earnings_25_older_total,earnings_25_older_total_moe,earnings_25_older_less_hs,earnings_25_older_less_hs_moe,earnings_25_older_hs_grad,earnings_25_older_hs_grad_moe,earnings_25_older_some_college,earnings_25_older_some_college_moe,earnings_25_older_bachelors,earnings_25_older_bachelors_moe,earnings_25_older_graduate,earnings_25_older_graduate_moe,median_household_income,median_household_income_moe,income_less_than_10k,income_less_than_10k_moe,income_10k_14999,income_10k_14999_moe,income_15k_24999,income_15k_24999_moe,income_25k_34999,income_25k_34999_moe,income_35K_49999,income_35K_49999_moe,income_50K_74999,income_50K_74999_moe,income_75K_99999,income_75K_99999_moe,income_100K_149999,income_100K_149999_moe,income_150K_199999,income_150K_199999_moe,income_200K_more,income_200K_more_moe,total_pop,total_pop_moe,race_white,race_white_moe,race_black,race_black_moe,race_american_indian,race_american_indian_moe,race_asian,race_asian_moe,race_native_hawaiian,race_native_hawaiian_moe,race_hispanic,race_hispanic_moe,race_other,race_other_moe,race_two_more,race_two_more_moe,family_children_total,family_children_total_moe,family_married_parent_perc,family_single_parent_perc,family_children_nonfamily_perc,family_nonfamily_household_perc,education_less_hs,education_hs_grad,education_assoc_some_college,education_bachelors_or_higher,disability,disability_moe,housing_occupied_total,owner_occupied_housing_total,renter_occupied_housing_total,owner_occupied_housing_perc,renter_occupied_housing_perc,affordable_housing_own_total,affordable_housing_own_perc,affordable_housing_rent_total,affordable_housing_rent_perc,affordable_housing_all_perc,affordable_housing_less_20k,affordable_housing_20k_34k,affordable_housing_35k_49k,affordable_housing_50k_74k,affordable_housing_more_75k
4100021,"South Wasco County School District 1, Oregon",2018,42.6,7.2,4.2,2.8,63.9,8.1,4.6,3.1,15.2,5.8,952,191,26038,6020,27005,6309,21579,15351,18750,18017,33295,6188,31042,12550,35833,19044,47035,5231,6.8,2.7,4.1,3.4,10.6,3.7,10.4,3.9,20,5.5,28.2,5.8,6.9,3.6,10,5.1,0.2,0.5,2.7,2.4,1960,228,93.7,3.4,0.4,0.5,0.8,1,1.2,1.7,0.6,1,5.6,6.5,0,1.6,3.4,2.6,181,61,43.0939226519337,49.1712707182321,7.73480662983425,24.1066364152014,12.4242424242424,34.1818181818182,40.969696969697,12.4242424242424,25.7,4.3,894,653,241,73.0425055928412,26.9574944071588,478,73.2006125574273,142,58.9211618257261,69.3512304250559,10.8695652173913,69.9300699300699,78.169014084507,93.7759336099585,97.7401129943503
41065970100,"Census Tract 9701, Wasco County, Oregon",2018,50.1,5.8,2.8,2.3,71.9,6.5,1.3,1.5,14.8,8.3,1669,214,32779,4361,34053,6403,23606,16948,33325,2623,30349,10409,52955,8881,66250,17772,56875,12049,2.4,1.9,6.4,3.8,12.7,5.3,11.9,4.3,9,3.2,28.4,6.7,11.8,5.4,10.9,4.6,4.9,2.8,1.5,1.4,3659,361,95.3,2.3,0.2,0.4,3.1,2.1,0.2,0.5,0,0.9,8,2.4,0.3,0.7,0.8,1,703,175,72.5462304409673,27.4537695590327,0,21.3735938425104,10.6338028169014,27.5704225352113,35.4225352112676,26.3732394366197,21.1,4.6,1615,1164,451,72.0743034055728,27.9256965944272,953,81.872852233677,155,34.3680709534368,68.6068111455108,10.7344632768362,26.3888888888889,91.0958904109589,85.1851851851852,100
41065970200,"Census Tract 9702, Wasco County, Oregon",2018,68.5,5.2,2.3,2.2,78.5,5.2,2.5,2.4,12.3,5.4,1767,190,30806,5652,32551,4303,22813,14426,32381,3708,36705,4266,33224,6677,58015,28967,48571,2655,3.7,3,5.1,4.1,8.9,5.7,10.9,5.8,27.5,8,17.4,6.1,15,5.4,6.8,4,4.6,3.8,0,2.5,3166,273,92.5,3.4,0.5,0.8,0.9,1.2,0.7,0.9,0,1,25.6,5.4,2,1.8,3.4,2.4,822,194,69.9513381995134,30.0486618004866,0,24.415666456096,15.4074074074074,23.5555555555556,37.7777777777778,23.2592592592593,14,4.8,1290,671,619,52.015503875969,47.984496124031,470,70.0447093889717,420,67.8513731825525,68.9922480620155,0,71.2041884816754,72.9577464788733,68.75,100
41065970300,"Census Tract 9703, Wasco County, Oregon",2018,60.4,5.1,5.2,4.4,76.7,5.2,3,3,5.3,2.8,1501,188,36343,2791,41667,6493,,,36756,6980,38523,9489,56875,18739,44702,19957,58264,12952,3.7,3.2,3.7,3.8,8,5.2,6.8,3.9,22.4,7.7,17.2,5.9,17.9,7.1,16.1,5,4.1,3.5,0,2.8,2980,233,87.2,6.6,0.8,1.1,0.3,0.4,2.3,1.9,0,1.1,16.2,4.9,6.1,5.7,3.3,2.4,779,140,57.1245186136072,42.8754813863928,0,11.8072289156627,8.82352941176471,19.8782961460446,45.0811359026369,26.2170385395538,10.1,3.3,1131,819,312,72.4137931034483,27.5862068965517,701,85.5921855921856,133,42.6282051282051,73.7400530503979,0,45.0980392156863,84.9514563106796,88.7179487179487,98.1176470588235
41065970400,"Census Tract 9704, Wasco County, Oregon",2018,45.7,5,4.9,3.6,68,7.4,2.9,2.4,14.7,6.1,1364,168,30382,3295,32071,3153,31477,10280,31458,2006,32463,5874,74861,14239,,,38988,7964,5.6,3.7,10.2,5.9,16.2,5.8,15.5,5.9,10,4.9,20.2,6.6,9.1,4.2,3.2,2.3,3.8,4,6.2,3.8,3394,276,89.4,5.9,0.1,0.2,0.6,0.8,0,1,0.1,0.1,20.6,4.7,5.3,5.3,4.5,2.6,864,162,72.9166666666667,27.0833333333333,0,19.5183776932826,12.6822801590809,34.7326557666814,36.7653557224923,15.8197083517455,23.5,4.3,1314,523,791,39.8021308980213,60.1978691019787,412,78.7762906309752,304,38.4323640960809,54.4901065449011,9.41176470588235,38.328530259366,82.4175824175824,71.8045112781955,100
41065970500,"Census Tract 9705, Wasco County, Oregon",2018,56.5,5.8,6.4,6.2,69,6.4,6.1,5.7,21.1,6.5,1893,252,26113,4185,31540,2117,34420,5379,26453,4384,30625,2879,53864,6786,,,45563,6728,8.4,5,5.2,3.6,16.8,6,8.6,4.2,14.9,4.8,21.6,6.8,10.5,4.8,10,4.7,3.3,2.1,0.5,0.8,3759,263,80.2,8.4,0,0.9,0.3,0.4,0.5,0.7,3.7,1.7,27.3,5,11,7.5,4.3,1.9,918,128,63.6165577342048,36.3834422657952,0,14.7645650438947,25.2685861624409,34.4649763644177,29.4370434035239,10.8293940696175,22.1,4.4,1473,847,626,57.5016972165648,42.4983027834352,642,75.7969303423849,350,55.9105431309904,67.3455532926001,23.9852398523985,48.7804878048781,74.8768472906404,86.7924528301887,100
41065970600,"Census Tract 9706, Wasco County, Oregon",2018,52.8,6.7,7.2,4.5,64.4,7.6,7.7,4.9,12.4,5.9,1321,185,31325,4121,31992,5556,18229,11745,36528,7051,31123,2948,40329,6491,50208,20256,55750,12306,1,1.1,6.3,4.2,9.6,5.6,9.8,5,14.2,5.4,23.8,7.5,20.2,6.8,9.4,3.9,0,3,5.6,3.9,2848,281,90.9,5,0,1.1,0,1.1,1,0.8,0,1.1,24.3,8.3,5.9,4.5,2.2,1.7,725,159,71.8620689655172,28.1379310344828,0,12.95959228249,14.0671273445212,26.3079960513327,35.9822309970385,23.6426456071076,14.3,5,1057,696,361,65.8467360454116,34.1532639545885,465,66.8103448275862,225,62.3268698060942,65.279091769158,15.1785714285714,52.7272727272727,60.4166666666667,71.8253968253968,94.3620178041543
41065970700,"Census Tract 9707, Wasco County, Oregon",2018,68.7,9.5,0.6,0.9,81.7,6.9,0.4,0.9,8.5,5.9,1113,315,31505,8653,35404,5094,17476,9071,29091,6161,36983,5289,71250,7450,60446,17003,61048,8545,1.5,1.8,2.8,1.9,9.9,4.4,14.5,7.6,11.6,5.7,23.5,7.7,10.1,5.6,17.6,6.5,4,2.8,4.4,3.3,1821,305,87.9,10.1,1.4,1.3,0.1,0.3,0.2,0.3,0,1.8,23.4,8.3,7.5,10,3,2.1,291,79,91.7525773195876,8.24742268041237,0,9.8518995492595,19.9290780141844,27.1631205673759,26.9503546099291,25.9574468085106,16.7,8.4,654,527,127,80.5810397553517,19.4189602446483,390,74.0037950664137,60,47.244094488189,68.8073394495413,37.8787878787879,66.6666666666667,59.0909090909091,74.025974025974,96.3963963963964
41065970800,"Census Tract 9708, Wasco County, Oregon",2018,51.8,5.2,5.2,1.9,69.7,5.3,5.1,2.1,13.4,3.6,2129,262,29529,2694,31440,2718,21667,11016,25407,5304,31984,2775,49348,9382,42000,7212,50893,4760,5.8,1.6,4.2,2.1,11.4,3.4,8.7,2.7,18.7,3.6,23.4,4.2,8.7,2.3,15.1,4.5,1.6,1,2.4,1.5,4239,305,77.9,2.5,0.2,0.2,17.5,2.2,0.8,0.8,0.3,0.5,4,3.3,0.2,0.2,3.2,1.5,667,95,60.119940029985,37.7811094452774,2.09895052473763,18.4562097971301,10.2507836990596,31.0658307210031,42.6645768025078,16.0188087774295,20.1,2.9,1732,1153,579,66.5704387990762,33.4295612009238,875,75.8889852558543,376,64.9395509499137,72.2286374133949,19.3370165745856,61.8677042801556,83.7545126353791,95.5145118733509,96.6597077244259
41065,"Wasco County, Oregon",2018,55.8,1.8,4.4,1.4,72,2.1,3.8,1.2,13.4,2.1,12757,321,30880,1015,33347,1742,23209,4730,31806,1692,32453,3001,52932,6867,51000,7923,50973,2064,4.4,1.1,5.7,1.4,12,2,10.6,1.8,16.1,2.1,22.1,2.3,12.6,2,10.8,1.6,3.3,1.1,2.4,0.7,25866,,87.2,1.9,0.3,0.2,3.6,0.3,0.7,0.2,0.6,0.2,17.8,,4.5,1.8,3.1,0.7,5769,62,68.1747269890796,31.5825966371988,0.242676373721616,17.2589654334979,14.1583116379549,28.5104968703263,36.8193652024594,20.5118262892594,18.2,1.4,10266,6400,3866,62.3417105006819,37.6582894993181,4908,76.6875,2023,52.3279875840662,67.5141242937853,14.6360759493671,47.4824038982133,77.4193548387097,81.9759679572764,98.257006151743
